target_id,retrieval_condition,source_seed,target_required_operation_count,operation_overlap_count,operation_coverage,overlap_stratum,exact_structural_correspondence,ingredient_overlap_count,ingredient_jaccard,ingredient_set_exact,target_mean_terminal_success
cookingworld:test:52753,P,25920,1,0,0.0,zero_overlap,False,0,0.0,False,1.0
cookingworld:test:52753,R2,25241,1,1,1.0,complete_coverage,False,2,1.0,True,1.0
cookingworld:test:53661,P,27987,2,2,1.0,complete_coverage,False,0,0.0,False,1.0
cookingworld:test:53661,R2,24882,2,1,0.5,partial_coverage,False,2,1.0,True,1.0
cookingworld:test:52014,P,25815,1,0,0.0,zero_overlap,False,1,0.3333333333333333,False,1.0
cookingworld:test:52014,R2,26520,1,0,0.0,zero_overlap,False,2,1.0,True,1.0
cookingworld:test:52613,P,26863,2,0,0.0,zero_overlap,False,0,0.0,False,0.5
cookingworld:test:52613,R2,26317,2,2,1.0,complete_coverage,False,2,1.0,True,0.0
cookingworld:test:52968,P,25325,2,0,0.0,zero_overlap,False,1,0.3333333333333333,False,1.0
cookingworld:test:52968,R2,25493,2,2,1.0,complete_coverage,False,2,1.0,True,1.0
cookingworld:test:53786,P,26976,2,1,0.5,partial_coverage,False,0,0.0,False,1.0
cookingworld:test:53786,R2,26037,2,1,0.5,partial_coverage,False,2,1.0,True,1.0
cookingworld:test:52410,P,28285,4,0,0.0,zero_overlap,False,0,0.0,False,1.0
cookingworld:test:52410,R2,25841,4,2,0.5,partial_coverage,False,2,1.0,True,1.0
cookingworld:test:53943,P,25938,1,0,0.0,zero_overlap,False,0,0.0,False,1.0
cookingworld:test:53943,R2,25933,1,1,1.0,complete_coverage,False,2,1.0,True,1.0
cookingworld:test:52087,P,27229,2,0,0.0,zero_overlap,False,1,0.3333333333333333,False,1.0
cookingworld:test:52087,R2,28002,2,1,0.5,partial_coverage,False,2,1.0,True,1.0
cookingworld:test:53644,P,28188,3,0,0.0,zero_overlap,False,1,0.3333333333333333,False,1.0
cookingworld:test:53644,R2,27717,3,1,0.3333333333333333,partial_coverage,False,2,1.0,True,0.0
cookingworld:test:53001,P,26995,1,0,0.0,zero_overlap,False,0,0.0,False,1.0
cookingworld:test:53001,R2,27378,1,1,1.0,complete_coverage,False,2,1.0,True,1.0
cookingworld:test:53837,P,27385,3,1,0.3333333333333333,partial_coverage,False,0,0.0,False,1.0
cookingworld:test:53837,R2,25579,3,2,0.6666666666666666,partial_coverage,False,2,1.0,True,1.0
cookingworld:test:52679,P,25816,1,0,0.0,zero_overlap,False,0,0.0,False,1.0
cookingworld:test:52679,R2,25924,1,0,0.0,zero_overlap,False,2,1.0,True,1.0
cookingworld:test:53227,P,27052,4,2,0.5,partial_coverage,False,0,0.0,False,0.5
cookingworld:test:53227,R2,24625,4,4,1.0,complete_coverage,False,2,1.0,True,1.0
cookingworld:test:53005,P,27070,2,1,0.5,partial_coverage,False,1,0.3333333333333333,False,1.0
cookingworld:test:53005,R2,28430,2,1,0.5,partial_coverage,False,2,1.0,True,0.5
cookingworld:test:53121,P,24132,1,0,0.0,zero_overlap,False,1,0.3333333333333333,False,1.0
