target_id,P_mean,C_mean,P_minus_C
cookingworld:test:52000,0.0,0.0,0.0
cookingworld:test:52003,1.0,0.5,0.5
cookingworld:test:52004,0.0,0.0,0.0
cookingworld:test:52011,1.0,1.0,0.0
cookingworld:test:52012,1.0,1.0,0.0
cookingworld:test:52014,1.0,1.0,0.0
cookingworld:test:52025,1.0,0.0,1.0
cookingworld:test:52027,1.0,0.5,0.5
cookingworld:test:52029,1.0,1.0,0.0
cookingworld:test:52030,1.0,0.0,1.0
cookingworld:test:52036,1.0,1.0,0.0
cookingworld:test:52037,1.0,1.0,0.0
cookingworld:test:52038,1.0,1.0,0.0
cookingworld:test:52039,1.0,1.0,0.0
cookingworld:test:52041,0.0,0.0,0.0
cookingworld:test:52052,0.5,0.0,0.5
cookingworld:test:52054,0.5,0.5,0.0
cookingworld:test:52057,1.0,1.0,0.0
cookingworld:test:52059,1.0,1.0,0.0
cookingworld:test:52063,1.0,0.0,1.0
cookingworld:test:52064,1.0,0.0,1.0
cookingworld:test:52066,1.0,1.0,0.0
cookingworld:test:52067,1.0,1.0,0.0
cookingworld:test:52068,1.0,0.0,1.0
cookingworld:test:52076,1.0,0.0,1.0
cookingworld:test:52079,1.0,0.5,0.5
cookingworld:test:52080,1.0,1.0,0.0
cookingworld:test:52081,0.5,0.0,0.5
cookingworld:test:52082,1.0,1.0,0.0
cookingworld:test:52083,1.0,1.0,0.0
cookingworld:test:52087,1.0,1.0,0.0
cookingworld:test:52090,1.0,1.0,0.0
cookingworld:test:52092,1.0,1.0,0.0
cookingworld:test:52093,1.0,0.5,0.5
cookingworld:test:52094,1.0,1.0,0.0
cookingworld:test:52095,1.0,0.5,0.5
cookingworld:test:52105,1.0,1.0,0.0
cookingworld:test:52106,1.0,1.0,0.0
cookingworld:test:52107,0.5,0.5,0.0
cookingworld:test:52109,1.0,1.0,0.0
cookingworld:test:52112,1.0,1.0,0.0
cookingworld:test:52117,1.0,0.5,0.5
cookingworld:test:52119,1.0,1.0,0.0
cookingworld:test:52120,1.0,1.0,0.0
cookingworld:test:52126,1.0,1.0,0.0
cookingworld:test:52127,1.0,1.0,0.0
cookingworld:test:52129,1.0,0.0,1.0
cookingworld:test:52131,1.0,1.0,0.0
cookingworld:test:52133,1.0,1.0,0.0
cookingworld:test:52139,1.0,1.0,0.0
cookingworld:test:52145,0.5,1.0,-0.5
cookingworld:test:52148,1.0,0.0,1.0
cookingworld:test:52151,1.0,1.0,0.0
cookingworld:test:52155,1.0,0.5,0.5
cookingworld:test:52162,0.5,1.0,-0.5
cookingworld:test:52165,1.0,1.0,0.0
cookingworld:test:52170,0.0,0.0,0.0
cookingworld:test:52171,1.0,1.0,0.0
cookingworld:test:52173,1.0,1.0,0.0
cookingworld:test:52179,1.0,1.0,0.0
cookingworld:test:52181,1.0,0.0,1.0
cookingworld:test:52184,0.0,0.0,0.0
cookingworld:test:52187,1.0,1.0,0.0
cookingworld:test:52191,1.0,0.0,1.0
cookingworld:test:52195,0.0,0.0,0.0
cookingworld:test:52197,1.0,0.5,0.5
cookingworld:test:52201,1.0,0.0,1.0
cookingworld:test:52207,0.0,1.0,-1.0
cookingworld:test:52209,1.0,1.0,0.0
